Attendee,Join Time,Leave Time,Join Time Number,Leave Time Number
Adolfo Boyle,11/9/2020 14:00,11/9/2020 19:03,1915452000,1915470180
Aedan Fischer,11/9/2020 15:16,11/9/2020 18:04,1915456560,1915466640
Maggie Franco,11/9/2020 13:55,11/9/2020 18:10,1915451700,1915467000
Alisa Cline,11/9/2020 15:22,11/9/2020 16:39,1915456920,1915461540
Kaydence Stark,11/9/2020 14:48,11/9/2020 18:02,1915454880,1915466520
Johan Woods,11/9/2020 13:45,11/9/2020 13:51,1915451100,1915451460
Johan Woods,11/9/2020 13:53,11/9/2020 13:54,1915451580,1915451640
Johan Woods,11/9/2020 13:54,11/9/2020 19:03,1915451640,1915470180
Aisha English,11/9/2020 13:59,11/9/2020 18:26,1915451940,1915467960
Maximus Greer,11/9/2020 13:35,11/9/2020 16:04,1915450500,1915459440
Maximus Greer,11/9/2020 16:04,11/9/2020 19:03,1915459440,1915470180
Brooks Long,11/9/2020 13:55,11/9/2020 16:17,1915451700,1915460220
Brooks Long,11/9/2020 17:17,11/9/2020 18:03,1915463820,1915466580
Gerardo Baldwin,11/9/2020 13:56,11/9/2020 18:03,1915451760,1915466580
Israel Conrad,11/9/2020 14:37,11/9/2020 14:38,1915454220,1915454280
Giancarlo Abbott,11/9/2020 13:54,11/9/2020 16:51,1915451640,1915462260
Demarcus Boyd,11/9/2020 13:54,11/9/2020 17:16,1915451640,1915463760
Lyric Clarke,11/9/2020 14:03,11/9/2020 18:16,1915452180,1915467360
Lyric Clarke,11/9/2020 13:57,11/9/2020 14:03,1915451820,1915452180
Lyric Clarke,11/9/2020 18:34,11/9/2020 18:35,1915468440,1915468500
Araceli Sampson,11/9/2020 18:17,11/9/2020 18:18,1915467420,1915467480
Araceli Sampson,11/9/2020 14:18,11/9/2020 15:32,1915453080,1915457520
Sarahi Watts,11/9/2020 16:25,11/9/2020 16:52,1915460700,1915462320
Bridger Burton,11/9/2020 13:39,11/9/2020 13:45,1915450740,1915451100
Bridger Burton,11/9/2020 13:47,11/9/2020 19:03,1915451220,1915470180
Cedric Reed,11/9/2020 14:21,11/9/2020 14:55,1915453260,1915455300
Amina Washington,11/9/2020 13:22,11/9/2020 19:03,1915449720,1915470180
Desirae Terry,11/9/2020 16:37,11/9/2020 17:22,1915461420,1915464120
Sonny Roth,11/9/2020 18:01,11/9/2020 18:02,1915466460,1915466520
Sonny Roth,11/9/2020 13:58,11/9/2020 18:01,1915451880,1915466460
Jessie Lloyd,11/9/2020 16:45,11/9/2020 17:10,1915461900,1915463400
Jessie Lloyd,11/9/2020 13:49,11/9/2020 16:16,1915451340,1915460160
Jessie Lloyd,11/9/2020 16:32,11/9/2020 16:45,1915461120,1915461900
Tori Liu,11/9/2020 14:08,11/9/2020 18:37,1915452480,1915468620
Jaelyn Hines,11/9/2020 14:00,11/9/2020 16:19,1915452000,1915460340
German Higgins,11/9/2020 13:52,11/9/2020 16:59,1915451520,1915462740
Ricardo Lin,11/9/2020 13:51,11/9/2020 18:31,1915451460,1915468260
Alaina Miller,11/9/2020 17:10,11/9/2020 19:03,1915463400,1915470180
Yoselin Marshall,11/9/2020 13:24,11/9/2020 19:03,1915449840,1915470180
Shelby Wyatt,11/9/2020 13:59,11/9/2020 16:13,1915451940,1915459980
Alexis Cruz,11/9/2020 14:02,11/9/2020 18:01,1915452120,1915466460
Alexis Cruz,11/9/2020 18:36,11/9/2020 19:03,1915468560,1915470180
Emery Schmidt,11/9/2020 14:09,11/9/2020 18:04,1915452540,1915466640
Kane Hatfield,11/9/2020 13:49,11/9/2020 19:03,1915451340,1915470180
Alannah Wright,11/9/2020 13:58,11/9/2020 19:03,1915451880,1915470180
Zaid Clark,11/9/2020 13:21,11/9/2020 13:23,1915449660,1915449780
Melvin Vaughn,11/9/2020 13:45,11/9/2020 19:03,1915451100,1915470180
